Kp: 0.4
Ki: 0
Kd: 0
tau: 0.01
limMin: -0.8
limMax: 0.8
intLimMin: -0.25
intLimMax: 0.25
setpoint: 219.191
t;error;out
22.7536;-0.481277;-0.192511
22.7879;-0.497101;-0.19884
22.8204;-0.511154;-0.204462
22.854;-0.524689;-0.209875
22.886;-0.536682;-0.214673
22.9207;-0.548828;-0.219531
22.9536;-0.559341;-0.223737
22.9864;-0.568878;-0.227551
23.0191;-0.577499;-0.231
23.0517;-0.585205;-0.234082
23.0847;-0.592041;-0.236816
23.1068;-0.596085;-0.238434
23.1391;-0.601242;-0.240497
23.1703;-0.605423;-0.242169
23.203;-0.608932;-0.243573
23.235;-0.611481;-0.244592
23.2666;-0.613129;-0.245251
23.2986;-0.613968;-0.245587
23.3305;-0.613983;-0.245593
23.3628;-0.613068;-0.245227
23.3947;-0.611389;-0.244556
23.4263;-0.608871;-0.243549
23.4579;-0.60556;-0.242224
23.4993;-0.600021;-0.240009
23.5198;-0.596802;-0.238721
23.5418;-0.592987;-0.237195
23.5665;-0.588211;-0.235284
23.5882;-0.583618;-0.233447
23.6128;-0.578003;-0.231201
23.6469;-0.569458;-0.227783
23.6827;-0.559586;-0.223834
23.7177;-0.548965;-0.219586
23.7382;-0.542343;-0.216937
23.7722;-0.530746;-0.212299
23.805;-0.518738;-0.207495
23.8385;-0.505783;-0.202313
23.8791;-0.488983;-0.195593
23.9164;-0.472549;-0.18902
23.9505;-0.456726;-0.18269
23.9818;-0.441574;-0.17663
24.014;-0.425201;-0.170081
24.0463;-0.408234;-0.163293
24.0792;-0.390228;-0.156091
24.1109;-0.372314;-0.148926
24.1441;-0.352921;-0.141168
24.176;-0.333694;-0.133478
24.2084;-0.313629;-0.125452
24.2401;-0.293259;-0.117303
24.2731;-0.271561;-0.108624
24.3061;-0.249298;-0.0997192
24.339;-0.226547;-0.0906189
24.3708;-0.203964;-0.0815857
24.4049;-0.179199;-0.0716797
24.4366;-0.155655;-0.062262
24.4699;-0.130417;-0.0521667
24.503;-0.104767;-0.0419067
24.5363;-0.0785675;-0.031427
24.5693;-0.052002;-0.0208008
24.6007;-0.0263214;-0.0105286
24.6334;0.000854492;0.000341797
24.6659;0.0284271;0.0113708
24.6982;0.0562134;0.0224854
24.73;0.0839386;0.0335754
24.766;0.115829;0.0463318
24.8006;0.146973;0.0587891
24.8355;0.178726;0.0714905
24.8688;0.209534;0.0838135
24.9023;0.24086;0.096344
24.9385;0.275208;0.110083
24.9727;0.307907;0.123163
25.0074;0.341614;0.136646
25.0416;0.375122;0.150049
25.0766;0.409866;0.163947
25.1112;0.44455;0.17782
25.1451;0.478775;0.19151
25.1771;0.511368;0.204547
25.2112;0.546463;0.218585
25.2431;0.579605;0.231842
25.2755;0.613403;0.245361
25.3065;0.646011;0.258405
25.3383;0.679794;0.271918
25.3698;0.713501;0.2854
25.403;0.749237;0.299695
25.4359;0.784744;0.313898
25.4698;0.821686;0.328674
25.5023;0.857269;0.342908
25.5343;0.892471;0.356989
25.5669;0.928528;0.371411
25.6226;0.990952;0.396381
25.6571;1.02968;0.411871
25.6899;1.06653;0.426611
25.7236;1.10455;0.441821
25.7628;1.14908;0.459631
25.7995;1.19101;0.476404
25.8326;1.22881;0.491522
25.8549;1.25453;0.501813
25.8756;1.27832;0.511328
25.9114;1.31946;0.527783
25.9436;1.35652;0.542609
25.9738;1.3914;0.556561
26.0053;1.4277;0.571082
26.0388;1.46645;0.586578
